Lvl;Proficiency Bonus;Features;Cantrips Known;Spells Known;1;2;3;4;5;6;7;8;9
1;2;Spellcasting, Bardic Inspiration (d6);2;4;2;;;;;;;;
2;2;Jack of all Trades, Song of Rest (d6);2;5;3;;;;;;;;
3;2;Bard College, Expertise;2;6;4;2;;;;;;;
4;2;Ability Score Improvement;3;7;4;3;;;;;;;
5;3;Bardic Inspiration (d8), Font of Inspiration;3;8;4;3;2;;;;;;
6;3;Countercharm, Bard College feature;3;9;4;3;3;;;;;;
7;3;;3;10;4;3;3;1;;;;;
8;3;Ability Score Improvement;3;11;4;3;3;2;;;;;
9;4;Song of Rest (d8);3;12;4;3;3;3;1;;;;
10;4;Bardic Inspiration (d10), Expertise, Magical Secrets;4;14;4;3;3;3;2;;;;
11;4;;4;15;4;3;3;3;2;1;;;
12;4;Ability Score Improvement;4;15;4;3;3;3;2;1;;;
13;5;Song of Rest (d10);4;16;4;3;3;3;2;1;1;;
14;5;Magical Secrets, Bard College feature;4;18;4;3;3;3;2;1;1;;
15;5;Bardic Inspiration (d12);4;19;4;3;3;3;2;1;1;1;
16;5;Ability Score Improvement;4;19;4;3;3;3;2;1;1;1;
17;6;Song of Rest (d12);4;20;4;3;3;3;2;1;1;1;1
18;6;Magical Secrets;4;22;4;3;3;3;3;1;1;1;1
19;6;Ability Score Improvement;4;22;4;3;3;3;3;2;1;1;1
20;6;Superior Inspiration;4;22;4;3;3;3;3;2;2;1;1