Lvl;Proficiency Bonus;Features;Cantrips Known;1;2;3;4;5;6;7;8;9
1;2;Spellcasting, Arcane Recovery;3;2;;;;;;;;
2;2;Arcane Tradition;3;3;;;;;;;;
3;2;;3;4;2;;;;;;;
4;2;Ability Score Improvement;4;4;3;;;;;;;
5;3;;4;4;3;2;;;;;;
6;3;Arcane Tradition Feature;4;4;3;3;;;;;;
7;3;;4;4;3;3;1;;;;;
8;3;Ability Score Improvement;4;4;3;3;2;;;;;
9;4;;4;4;3;3;3;1;;;;
10;4;Arcane Tradition Feature;5;4;3;3;3;2;;;;
11;4;;5;4;3;3;3;2;1;;;
12;4;Ability Score Improvement;5;4;3;3;3;2;1;;;
13;5;;5;4;3;3;3;2;1;1;;
14;5;Arcane Tradition Feature;5;4;3;3;3;2;1;1;;
15;5;;5;4;3;3;3;2;1;1;1;
16;5;Ability Score Improvement;5;4;3;3;3;2;1;1;1;
17;6;;5;4;3;3;3;2;1;1;1;1
18;6;Spell Mastery;5;4;3;3;3;3;1;1;1;1
19;6;Ability Score Improvement;5;4;3;3;3;3;2;1;1;1
20;6;Signature Spells;5;4;3;3;3;3;2;2;1;1